iter	MultiClass
0	1.405337828
1	1.254365153
2	1.141836474
3	1.048881171
4	0.9567860802
5	0.8796918485
6	0.8230384535
7	0.7737351792
8	0.7235609775
9	0.6843145814
10	0.6496216259
11	0.6178997819
12	0.5888314511
13	0.5667177682
14	0.5438306491
15	0.5250544857
16	0.5067550668
17	0.4926843723
18	0.4785891633
19	0.4690613043
20	0.4608657113
21	0.4506347003
22	0.4402760406
23	0.4317967373
24	0.4242049224
25	0.4187133556
26	0.4123847836
27	0.406268358
28	0.4006660062
29	0.3964549716
30	0.3928722701
31	0.3883585857
32	0.3845594714
33	0.3809587389
34	0.3784270879
35	0.376587702
36	0.3742381157
37	0.3718329256
38	0.3689138919
39	0.3665325143
40	0.3647092673
41	0.3619903038
42	0.3602821608
43	0.3582049034
44	0.3567619787
45	0.3554394843
46	0.353969474
47	0.3527342223
48	0.3511554195
49	0.3494998178
50	0.3480612988
51	0.3466890885
52	0.3445873169
53	0.3432191111
54	0.3418965959
55	0.3404164946
56	0.3386051188
57	0.3369042747
58	0.3355710673
59	0.3344004805
60	0.3330318277
61	0.3322235221
62	0.3304735824
63	0.3292636965
64	0.3282332273
65	0.3267003786
66	0.3258262409
67	0.325000337
68	0.3240094422
69	0.3227328702
70	0.3210157404
71	0.3201119606
72	0.3192842858
73	0.3179873294
74	0.3168666015
75	0.3161365636
76	0.3150070195
77	0.3141332836
78	0.3125782323
79	0.3114495556
80	0.310785594
81	0.3094324785
82	0.3084633215
83	0.3077014878
84	0.3069383157
85	0.3060632203
86	0.3050675672
87	0.3040036393
88	0.3031313462
89	0.301877124
90	0.3012026109
91	0.3000331372
92	0.2992422824
93	0.2981380389
94	0.2971810952
95	0.2959407835
96	0.2956080611
97	0.2948339237
98	0.2937392371
99	0.2931008205
100	0.2919217991
101	0.291363794
102	0.2900513272
103	0.2891755543
104	0.2884000321
105	0.2874983269
106	0.2866532709
107	0.286004576
108	0.2854556202
109	0.2849204232
110	0.2841756277
111	0.28317786
112	0.2824824408
113	0.2815418411
114	0.2810114275
115	0.2804354801
116	0.2790948262
117	0.2785222784
118	0.277726563
119	0.2769694962
120	0.2760140461
121	0.275410256
122	0.2749939148
123	0.2746102887
124	0.2742258259
125	0.2738285561
126	0.2726057322
127	0.2722389005
128	0.2716222415
129	0.2709136372
130	0.2700994133
131	0.2687933611
132	0.2679528623
133	0.2667818864
134	0.2664612138
135	0.2656403599
136	0.2649798223
137	0.2644875772
138	0.2639180894
139	0.2634293082
140	0.2630318803
141	0.261857159
142	0.2612835727
143	0.2607448639
144	0.2598899659
145	0.2593540495
146	0.2585598975
147	0.257860303
148	0.2572605348
149	0.2566733821
150	0.2560366513
151	0.2553316884
152	0.2548844956
153	0.2541518077
154	0.2535843053
155	0.2530792997
156	0.2521646702
157	0.2517686913
158	0.2514934481
159	0.2511181219
160	0.2500495243
161	0.249676101
162	0.2488230378
163	0.248421974
164	0.2477065259
165	0.2473216852
166	0.2468400167
167	0.2465550754
168	0.2459480822
169	0.2451666956
170	0.2443743683
171	0.2438989297
172	0.2436665038
173	0.243195282
174	0.2424200515
175	0.24163047
176	0.2411032609
177	0.2407145052
178	0.2403410629
179	0.2398999857
180	0.2393657787
181	0.2388603957
